commodity,price,Calcium,Calories,Iron,Niacin [Vitamin B3],Protein,Riboflavin [Vitamin B2],Thiamin [Vitamin B1],"Vitamin A, RAE",Vitamin C [Ascorbic acid]
Cassava,0.21800000000000003,16.0,160.0,0.27,0.854,1.36,0.048,0.087,1.0,20.6
Gari,0.24900000000000003,71.0,357.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0
Maize,0.53,2.0,86.0,0.52,1.77,3.27,0.055,0.155,9.0,6.8
Maize (yellow),0.487,2.0,86.0,0.52,1.77,3.27,0.055,0.155,9.0,6.8
Millet,0.663,8.0,378.0,3.01,4.72,11.02,0.29,0.421,0.0,0.0
Rice (imported),0.8800000000000001,9.0,367.0,1.29,6.494,7.54,0.095,0.541,0.0,0.0
Rice (local),0.867,9.0,367.0,1.29,6.494,7.54,0.095,0.541,0.0,0.0
Sorghum,0.663,13.0,329.0,3.36,3.688,10.62,0.096,0.332,0.0,0.0
Yam,0.28900000000000003,17.0,118.0,0.54,0.552,1.53,0.032,0.112,7.0,17.1
Yam (puna),0.481,17.0,118.0,0.54,0.552,1.53,0.032,0.112,7.0,17.1
"Fish (mackerel, fresh)",1.481,12.0,205.0,1.63,9.08,18.6,0.312,0.176,50.0,0.4
Meat (chicken),0.503,10.0,148.0,1.09,7.477,21.26,0.207,0.149,32.0,3.3
Cowpeas,0.16599999999999998,85.0,343.0,9.95,2.795,23.85,0.17,0.68,2.0,1.5
Soybeans,1.204,277.0,446.0,15.7,1.623,36.49,0.87,0.874,1.0,6.0
Eggplants,0.306,9.0,25.0,0.23,0.649,0.98,0.037,0.039,1.0,2.2
Onions,0.20299999999999999,23.0,40.0,0.21,0.116,1.1,0.027,0.046,0.0,7.4
Peppers (dried),0.389,61.0,281.0,10.93,6.403,11.86,2.255,0.179,1022.0,2.0
Plantains (apem),0.375,2.0,152.0,0.75,0.55,1.25,0.1,0.1,0.0,20.2
Plantains (apentu),0.75,2.0,152.0,0.75,0.55,1.25,0.1,0.1,0.0,20.2
Tomatoes (navrongo),0.571,10.0,18.0,0.27,0.594,0.88,0.019,0.037,42.0,13.7
