Nutrient,Amount,Unit,DV,commodity
Calories,160.0,,,cassava_raw
"Vitamin A, RAE",1.0,mcg,0 %,cassava_raw
Thiamin [Vitamin B1],0.087,mg,7 %,cassava_raw
Riboflavin [Vitamin B2],0.048,mg,4 %,cassava_raw
Niacin [Vitamin B3],0.854,mg,5 %,cassava_raw
Vitamin C [Ascorbic acid],20.6,mg,23 %,cassava_raw
Calcium,16.0,mg,1 %,cassava_raw
Iron,0.27,mg,2 %,cassava_raw
Protein,1.36,g,3 %,cassava_raw
Calories,148.0,,,chicken_raw_meat_only_stewing
"Vitamin A, RAE",32.0,mcg,4 %,chicken_raw_meat_only_stewing
Thiamin [Vitamin B1],0.149,mg,12 %,chicken_raw_meat_only_stewing
Riboflavin [Vitamin B2],0.207,mg,16 %,chicken_raw_meat_only_stewing
Niacin [Vitamin B3],7.477,mg,47 %,chicken_raw_meat_only_stewing
Vitamin C [Ascorbic acid],3.3,mg,4 %,chicken_raw_meat_only_stewing
Calcium,10.0,mg,1 %,chicken_raw_meat_only_stewing
Iron,1.09,mg,6 %,chicken_raw_meat_only_stewing
Protein,21.26,g,43 %,chicken_raw_meat_only_stewing
Calories,86.0,,,corn_raw
"Vitamin A, RAE",9.0,mcg,1 %,corn_raw
Thiamin [Vitamin B1],0.155,mg,13 %,corn_raw
Riboflavin [Vitamin B2],0.055,mg,4 %,corn_raw
Niacin [Vitamin B3],1.77,mg,11 %,corn_raw
Vitamin C [Ascorbic acid],6.8,mg,8 %,corn_raw
Calcium,2.0,mg,0 %,corn_raw
Iron,0.52,mg,3 %,corn_raw
Protein,3.27,g,7 %,corn_raw
Calories,86,,,corn_raw_yellow_sweet
"Vitamin A, RAE",9.00,mcg,1 %,corn_raw_yellow_sweet
Thiamin [Vitamin B1],0.155,mg,13 %,corn_raw_yellow_sweet
Riboflavin [Vitamin B2],0.055,mg,4 %,corn_raw_yellow_sweet
Niacin [Vitamin B3],1.770,mg,11 %,corn_raw_yellow_sweet
Vitamin C [Ascorbic acid],6.8,mg,8 %,corn_raw_yellow_sweet
Calcium,2.00,mg,0 %,corn_raw_yellow_sweet
Iron,0.52,mg,3 %,corn_raw_yellow_sweet
Protein,3.27,g,7 %,corn_raw_yellow_sweet
Calories,343.0,,,cowpeas_raw_mature_seeds_catjang
"Vitamin A, RAE",2.0,mcg,0 %,cowpeas_raw_mature_seeds_catjang
Thiamin [Vitamin B1],0.68,mg,57 %,cowpeas_raw_mature_seeds_catjang
Riboflavin [Vitamin B2],0.17,mg,13 %,cowpeas_raw_mature_seeds_catjang
Niacin [Vitamin B3],2.795,mg,17 %,cowpeas_raw_mature_seeds_catjang
Vitamin C [Ascorbic acid],1.5,mg,2 %,cowpeas_raw_mature_seeds_catjang
Calcium,85.0,mg,7 %,cowpeas_raw_mature_seeds_catjang
Iron,9.95,mg,55 %,cowpeas_raw_mature_seeds_catjang
Protein,23.85,g,48 %,cowpeas_raw_mature_seeds_catjang
Calories,25.0,,,eggplant_raw
"Vitamin A, RAE",1.0,mcg,0 %,eggplant_raw
Thiamin [Vitamin B1],0.039,mg,3 %,eggplant_raw
Riboflavin [Vitamin B2],0.037,mg,3 %,eggplant_raw
Niacin [Vitamin B3],0.649,mg,4 %,eggplant_raw
Vitamin C [Ascorbic acid],2.2,mg,2 %,eggplant_raw
Calcium,9.0,mg,1 %,eggplant_raw
Iron,0.23,mg,1 %,eggplant_raw
Protein,0.98,g,2 %,eggplant_raw
Calories,205.0,,,fish_raw_atlantic_mackerel
"Vitamin A, RAE",50.0,mcg,6 %,fish_raw_atlantic_mackerel
Thiamin [Vitamin B1],0.176,mg,15 %,fish_raw_atlantic_mackerel
Riboflavin [Vitamin B2],0.312,mg,24 %,fish_raw_atlantic_mackerel
Niacin [Vitamin B3],9.08,mg,57 %,fish_raw_atlantic_mackerel
Vitamin C [Ascorbic acid],0.4,mg,0 %,fish_raw_atlantic_mackerel
Calcium,12.0,mg,1 %,fish_raw_atlantic_mackerel
Iron,1.63,mg,9 %,fish_raw_atlantic_mackerel
Protein,18.6,g,37 %,fish_raw_atlantic_mackerel
Calories,357.0,,,gari_by_golden_tropics_ltd
Vitamin C [Ascorbic acid],0.0,mg,0 %,gari_by_golden_tropics_ltd
Calcium,71.0,mg,5 %,gari_by_golden_tropics_ltd
Iron,2.57,mg,14 %,gari_by_golden_tropics_ltd
Protein,0.0,g,0 %,gari_by_golden_tropics_ltd
