Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Cowpeas, raw, mature seeds, catjang",100,g,

Nutrient,Amount,Unit,DV
Calories,343,,
"Vitamin A, RAE",2.00,mcg,0 %
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.680,mg,57 %
"Riboflavin [Vitamin B2]",0.170,mg,13 %
"Niacin [Vitamin B3]",2.795,mg,17 %
"Pantothenic acid [Vitamin B5]",1.511,mg,30 %
"Vitamin B6",0.361,mg,21 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Folate, DFE [Vitamin B9]",639.00,mcg,160 %
"Folate, food",639.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",1.5,mg,2 %
"Vitamin D",0.00,mcg,0 %
"Calcium",85.00,mg,7 %
"Copper",1.06,mg,118 %
"Iron",9.95,mg,55 %
"Magnesium",333.00,mg,79 %
"Manganese",1.544,mg,67 %
"Phosphorus",438.00,mg,35 %
"Potassium",1375.00,mg,29 %
"Selenium",9.10,mcg,17 %
"Sodium",58.00,mg,3 %
"Zinc",6.11,mg,56 %
"Protein",23.85,g,48 %
"Alanine",1.088,g,
"Arginine",1.652,g,
"Aspartic acid",2.881,g,
"Cystine",0.263,g,
"Glutamic acid",4.518,g,
"Glycine",0.985,g,
"Histidine",0.740,g,65 %
"Isoleucine",0.969,g,62 %
"Leucine",1.828,g,53 %
"Lysine",1.614,g,52 %
"Methionine",0.340,g,
"Phenylalanine",1.393,g,
"Proline",1.072,g,
"Serine",1.194,g,
"Threonine",0.908,g,56 %
"Tryptophan",0.294,g,72 %
"Tyrosine",0.771,g,
"Valine",1.137,g,58 %
"Phenylalanine + Tyrosine",2.164,g,80 %
"Methionine + Cysteine",0.340,g,22 %
"Carbohydrate",59.64,g,22 %
"Fiber",10.70,g,38 %
"Net carbs",48.94,g,
"Fat",2.070,g,3 %
"Saturated fatty acids",0.542,g,3 %
"Dodecanoic acid",0.001,g,
"Hexadecanoic acid",0.417,g,
"Octadecanoic acid",0.087,g,
"Tetradecanoic acid",0.004,g,
"Monounsaturated fatty acids",0.173,g,
"Docosenoic acid",0.019,g,
"Eicosenoic acid",0.002,g,
"Hexadecenoic acid",0.006,g,
"Octadecenoic acid",0.144,g,
"Polyunsaturated fatty acids",0.889,g,
"Octadecadienoic acid",0.563,g,
"Octadecatrienoic acid",0.326,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Ash",3.39,g,
"Water",11.05,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
