Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Fish, raw, Atlantic, mackerel",100,g,

Nutrient,Amount,Unit,DV
Calories,205,,
"Vitamin A, RAE",50.00,mcg,6 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",0.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",0.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",50.00,mcg,
"Thiamin [Vitamin B1]",0.176,mg,15 %
"Riboflavin [Vitamin B2]",0.312,mg,24 %
"Niacin [Vitamin B3]",9.080,mg,57 %
"Pantothenic acid [Vitamin B5]",0.856,mg,17 %
"Vitamin B6",0.399,mg,23 %
"Vitamin B12 [Cobalamin]",8.71,mcg,363 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",1.00,mcg,0 %
"Folate, food",1.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.4,mg,0 %
"Vitamin D",16.10,mcg,81 %
"Vitamin D3",16.10,mcg,
"Vitamin E (alpha-tocopherol)",1.52,mg,10 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",1.52,mg,
"Vitamin K",5.0,mcg,4 %
"Vitamin K1 [Phylloquinone]",5.0,mcg,
"Choline",65.0,mg,12 %
"Calcium",12.00,mg,1 %
"Copper",0.07,mg,8 %
"Iron",1.63,mg,9 %
"Magnesium",76.00,mg,18 %
"Manganese",0.015,mg,1 %
"Phosphorus",217.00,mg,17 %
"Potassium",314.00,mg,7 %
"Selenium",44.10,mcg,80 %
"Sodium",90.00,mg,4 %
"Zinc",0.63,mg,6 %
"Protein",18.60,g,37 %
"Alanine",1.125,g,
"Arginine",1.113,g,
"Aspartic acid",1.905,g,
"Cystine",0.199,g,
"Glutamic acid",2.777,g,
"Glycine",0.893,g,
"Histidine",0.548,g,48 %
"Isoleucine",0.857,g,55 %
"Leucine",1.512,g,44 %
"Lysine",1.708,g,55 %
"Methionine",0.551,g,
"Phenylalanine",0.726,g,
"Proline",0.658,g,
"Serine",0.759,g,
"Threonine",0.815,g,50 %
"Tryptophan",0.208,g,51 %
"Tyrosine",0.628,g,
"Valine",0.958,g,49 %
"Phenylalanine + Tyrosine",1.354,g,50 %
"Methionine + Cysteine",0.551,g,36 %
"Carbohydrate",0.00,g,0 %
"Fiber",0.00,g,0 %
"Sugars",0.00,g,
"Net carbs",0,g,
"2.51 g",,undefined,0.00
"Fat",13.890,g,18 %
"Saturated fatty acids",3.257,g,16 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.017,g,
"Hexadecanoic acid",2.125,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.423,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.674,g,
"Monounsaturated fatty acids",5.456,g,
"Docosenoic acid",1.407,g,
"Eicosenoic acid",1.039,g,
"Hexadecenoic acid",0.727,g,
"Octadecenoic acid",2.283,g,
"Polyunsaturated fatty acids",3.350,g,
"Docosahexaenoic n-3 acid (DHA)",1.401,g,
"Docosapentaenoic n-3 acid (DPA)",0.212,g,
"Eicosapentaenoic n-3 acid (EPA)",0.898,g,
"Eicosatetraenoic acid",0.183,g,
"Octadecadienoic acid",0.219,g,
"Octadecatetraenoic acid",0.278,g,
"Octadecatrienoic acid",0.159,g,
"Cholesterol",70.00,mg,23 %
"Alcohol, ethyl",0.0,g,
"Ash",1.35,g,
"Caffeine",0.00,mg,
"Theobromine",0.00,mg,
"Water",63.55,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
