Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Gari by Golden Tropics, Ltd.",100,g,

Nutrient,Amount,Unit,DV
Calories,357,,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Calcium",71.00,mg,5 %
"Iron",2.57,mg,14 %
"Sodium",0.00,mg,0 %
"Protein",0.00,g,0 %
"Carbohydrate",89.29,g,32 %
"Fiber",7.10,g,25 %
"Sugars",0.00,g,
"Net carbs",82.19,g,
"Fat",0.000,g,0 %
"Saturated fatty acids",0.000,g,0 %
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
