Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Peppers, dried, ancho",100,g,

Nutrient,Amount,Unit,DV
Calories,281,,
"Vitamin A, RAE",1022.00,mcg,114 %
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.179,mg,15 %
"Riboflavin [Vitamin B2]",2.255,mg,173 %
"Niacin [Vitamin B3]",6.403,mg,40 %
"Pantothenic acid [Vitamin B5]",1.993,mg,40 %
"Vitamin B6",3.535,mg,208 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Folate, DFE [Vitamin B9]",69.00,mcg,17 %
"Folate, food",69.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",2.0,mg,2 %
"Vitamin D",0.00,mcg,0 %
"Calcium",61.00,mg,5 %
"Copper",0.51,mg,57 %
"Iron",10.93,mg,61 %
"Magnesium",113.00,mg,27 %
"Manganese",1.279,mg,56 %
"Phosphorus",201.00,mg,16 %
"Potassium",2411.00,mg,51 %
"Selenium",2.90,mcg,5 %
"Sodium",43.00,mg,2 %
"Zinc",1.42,mg,13 %
"Protein",11.86,g,24 %
"Alanine",0.476,g,
"Arginine",0.554,g,
"Aspartic acid",1.661,g,
"Cystine",0.219,g,
"Glutamic acid",1.532,g,
"Glycine",0.425,g,
"Histidine",0.232,g,20 %
"Isoleucine",0.373,g,24 %
"Leucine",0.605,g,18 %
"Lysine",0.515,g,17 %
"Methionine",0.142,g,
"Phenylalanine",0.361,g,
"Proline",0.502,g,
"Serine",0.464,g,
"Threonine",0.425,g,26 %
"Tryptophan",0.155,g,38 %
"Tyrosine",0.245,g,
"Valine",0.489,g,25 %
"Phenylalanine + Tyrosine",0.606,g,22 %
"Methionine + Cysteine",0.142,g,9 %
"Carbohydrate",51.42,g,19 %
"Fiber",21.60,g,77 %
"Net carbs",29.82,g,
"Fat",8.200,g,11 %
"Saturated fatty acids",0.820,g,4 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Hexadecanoic acid",0.656,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.082,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.082,g,
"Monounsaturated fatty acids",0.492,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.410,g,
"Polyunsaturated fatty acids",4.511,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",4.265,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.164,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",5.89,g,
"Water",22.63,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
