Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Sorghum grain",100,g,

Nutrient,Amount,Unit,DV
Calories,329,,
"Vitamin A, RAE",0.00,mcg,0 %
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.332,mg,28 %
"Riboflavin [Vitamin B2]",0.096,mg,7 %
"Niacin [Vitamin B3]",3.688,mg,23 %
"Pantothenic acid [Vitamin B5]",0.367,mg,7 %
"Vitamin B6",0.443,mg,26 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Folate, DFE [Vitamin B9]",20.00,mcg,5 %
"Folate, food",20.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.50,mg,3 %
"Tocopherol, alpha",0.50,mg,
"Calcium",13.00,mg,1 %
"Copper",0.28,mg,31 %
"Iron",3.36,mg,19 %
"Magnesium",165.00,mg,39 %
"Manganese",1.605,mg,70 %
"Phosphorus",289.00,mg,23 %
"Potassium",363.00,mg,8 %
"Selenium",12.20,mcg,22 %
"Sodium",2.00,mg,0 %
"Zinc",1.67,mg,15 %
"Protein",10.62,g,21 %
"Alanine",1.033,g,
"Arginine",0.355,g,
"Aspartic acid",0.743,g,
"Cystine",0.127,g,
"Glutamic acid",2.439,g,
"Glycine",0.346,g,
"Histidine",0.246,g,22 %
"Isoleucine",0.433,g,28 %
"Leucine",1.491,g,43 %
"Lysine",0.229,g,7 %
"Methionine",0.169,g,
"Phenylalanine",0.546,g,
"Proline",0.852,g,
"Serine",0.462,g,
"Threonine",0.346,g,21 %
"Tryptophan",0.124,g,30 %
"Tyrosine",0.321,g,
"Valine",0.561,g,29 %
"Phenylalanine + Tyrosine",0.867,g,32 %
"Methionine + Cysteine",0.169,g,11 %
"Carbohydrate",72.09,g,26 %
"Fiber",6.70,g,24 %
"Sugars",2.53,g,
"Net carbs",65.39,g,
"Fat",3.460,g,4 %
"Saturated fatty acids",0.610,g,3 %
"Docosanoic acid",0.004,g,
"Dodecanoic acid",0.001,g,
"Heptadecanoic acid",0.002,g,
"Hexadecanoic acid",0.543,g,
"Octadecanoic acid",0.052,g,
"Pentadecanoic acid",0.001,g,
"Tetracosanoic acid",0.008,g,
"Tetradecanoic acid",0.002,g,
"Monounsaturated fatty acids",1.131,g,
"Eicosenoic acid",0.011,g,
"Hexadecenoic acid",0.016,g,
"Octadecenoic acid",1.101,g,
"Tetracosenoic cis acid",0.003,g,
"Trans-hexadecenoic acid",0.002,g,
"Polyunsaturated fatty acids",1.558,g,
"Octadecadienoic acid",1.493,g,
"Octadecatrienoic acid",0.065,g,
"Fatty acids, total trans",0.005,g,
"Fatty acids, total trans-monoenoic",0.005,g,
"Cholesterol",0.00,mg,0 %
"Ash",1.43,g,
"Water",12.40,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
