Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Tomatoes, raw",100,g,

Nutrient,Amount,Unit,DV
Calories,18,,
"Vitamin A, RAE",42.00,mcg,5 %
"Carotene, alpha",101.00,mcg,
"Carotene, beta",449.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",123.00,mcg,
"Lycopene",2573.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.037,mg,3 %
"Riboflavin [Vitamin B2]",0.019,mg,1 %
"Niacin [Vitamin B3]",0.594,mg,4 %
"Vitamin B6",0.080,mg,5 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",15.00,mcg,4 %
"Folate, food",15.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",13.7,mg,15 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.54,mg,4 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.54,mg,
"Vitamin K",7.9,mcg,7 %
"Vitamin K1 [Phylloquinone]",7.9,mcg,
"Choline",6.7,mg,1 %
"Calcium",10.00,mg,1 %
"Copper",0.06,mg,7 %
"Iron",0.27,mg,2 %
"Magnesium",11.00,mg,3 %
"Phosphorus",24.00,mg,2 %
"Potassium",237.00,mg,5 %
"Selenium",0.00,mcg,0 %
"Sodium",5.00,mg,0 %
"Zinc",0.17,mg,2 %
"Protein",0.88,g,2 %
"Carbohydrate",3.89,g,1 %
"Fiber",1.20,g,4 %
"Sugars",2.63,g,
"Net carbs",2.69,g,
"Fat",0.200,g,0 %
"Saturated fatty acids",0.028,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Hexadecanoic acid",0.020,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.008,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.000,g,
"Monounsaturated fatty acids",0.031,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.001,g,
"Octadecenoic acid",0.030,g,
"Polyunsaturated fatty acids",0.083,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.080,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.003,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Caffeine",0.00,mg,
"Theobromine",0.00,mg,
"Water",94.52,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
