date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2019-01-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,122.77,8.8778
2019-01-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,142.9,10.3331
2019-01-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Yam,100 Tubers,actual,Wholesale,GHS,387.12,27.9933
2019-01-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,15.53,1.1233
2019-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,87.03,6.2932
2019-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,208.07,15.0457
2019-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,253.33,18.3185
2019-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,186.24,13.4672
2019-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,283.13,20.4734
2019-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Yam,250 KG,actual,Wholesale,GHS,369.67,26.7312
2019-01-15,BRONG AHAFO,KINTAMPO NORTH,Kintampo,8.0592612,-1.72955030000002,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,28.52,2.0623
2019-01-15,BRONG AHAFO,KINTAMPO NORTH,Kintampo,8.0592612,-1.72955030000002,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,106.82,7.7241
2019-01-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,7.333333,-2.333333,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,24.27,1.7547
2019-01-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,7.333333,-2.333333,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,460.0,33.2631
2019-01-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,7.333333,-2.333333,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,148.15,10.7127
2019-01-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,7.333333,-2.333333,cereals and tubers,Yam,100 Tubers,actual,Wholesale,GHS,275.36,19.9117
2019-01-15,BRONG AHAFO,SUNYANI MUNICIPAL,Sunyani,7.333333,-2.333333,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,6.71,0.4849
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,25.48,1.8425
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,108.0,7.8096
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,179.68,12.9928
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,304.0,21.9825
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,124.5,9.0027
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,159.58,11.5394
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Yam,100 Tubers,actual,Wholesale,GHS,262.5,18.9816
2019-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,11.1,0.8027
2019-01-15,CENTRAL,CAPE COAST METRO,Cape Coast,5.105686,-1.241294,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,53.72,3.8847
2019-01-15,CENTRAL,CAPE COAST METRO,Cape Coast,5.105686,-1.241294,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,192.31,13.906
2019-01-15,CENTRAL,CAPE COAST METRO,Cape Coast,5.105686,-1.241294,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,241.67,17.4752
2019-01-15,CENTRAL,CAPE COAST METRO,Cape Coast,5.105686,-1.241294,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,100.0,7.2311
2019-01-15,CENTRAL,CAPE COAST METRO,Cape Coast,5.105686,-1.241294,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,12.36,0.894
2019-01-15,EASTERN,NEW JUABEN MUNICIPAL,Koforidua,6.083333,-0.25,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,62.79,4.5404
2019-01-15,EASTERN,NEW JUABEN MUNICIPAL,Koforidua,6.083333,-0.25,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,144.0,10.4128
2019-01-15,EASTERN,NEW JUABEN MUNICIPAL,Koforidua,6.083333,-0.25,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,370.0,26.7551
2019-01-15,EASTERN,NEW JUABEN MUNICIPAL,Koforidua,6.083333,-0.25,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,9.0,0.6508
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,70.98,5.1326
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,138.0,9.9789
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,220.0,15.9084
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,260.0,18.8009
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,200.0,14.4622
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,220.0,15.9084
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Yam,100 Tubers,actual,Wholesale,GHS,311.9,22.5535
2019-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,9.88,0.7141
2019-01-15,GREATER ACCRA,TEMA METROPOLIS,Tema,5.616667,-0.016667,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,94.64,6.8435
2019-01-15,GREATER ACCRA,TEMA METROPOLIS,Tema,5.616667,-0.016667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,257.0,18.5839
2019-01-15,GREATER ACCRA,TEMA METROPOLIS,Tema,5.616667,-0.016667,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,350.0,25.3088
2019-01-15,GREATER ACCRA,TEMA METROPOLIS,Tema,5.616667,-0.016667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,220.0,15.9084
2019-01-15,GREATER ACCRA,TEMA METROPOLIS,Tema,5.616667,-0.016667,cereals and tubers,Yam,100 Tubers,actual,Wholesale,GHS,677.5,48.9907
2019-01-15,GREATER ACCRA,TEMA METROPOLIS,Tema,5.616667,-0.016667,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,14.8,1.0702
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,124.67,9.015
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,117.0,8.4604
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,165.68,11.9805
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Rice (imported),50 KG,actual,Wholesale,GHS,290.0,20.9702
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,135.0,9.762
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,124.72,9.0186
2019-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,18.3,1.3233
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Cassava,91 KG,aggregate,Wholesale,GHS,115.27,8.3353
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Gari,68 KG,aggregate,Wholesale,GHS,209.44,15.1448
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Maize,100 KG,aggregate,Wholesale,GHS,203.33,14.703
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Millet,93 KG,aggregate,Wholesale,GHS,306.25,22.1452
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Rice (imported),50 KG,aggregate,Wholesale,GHS,362.0,26.1766
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Rice (local),50 KG,aggregate,Wholesale,GHS,240.0,17.3546
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Sorghum,109 KG,aggregate,Wholesale,GHS,343.92,24.8692
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Yam,250 KG,aggregate,Wholesale,GHS,892.86,64.5636
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,cereals and tubers,Yam (puna),250 KG,aggregate,Wholesale,GHS,1025.0,74.1188
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,"meat, fish and eggs","Fish (mackerel, fresh)",20 KG,aggregate,Wholesale,GHS,167.07,12.081
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,"meat, fish and eggs",Meat (chicken),10 KG,aggregate,Wholesale,GHS,122.0,8.8219
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,vegetables and fruits,Onions,73 KG,aggregate,Wholesale,GHS,158.02,11.4266
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,vegetables and fruits,Plantains (apem),Bunch,aggregate,Wholesale,GHS,26.59,1.9227
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,vegetables and fruits,Plantains (apentu),Bunch,aggregate,Wholesale,GHS,19.66,1.4216
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,vegetables and fruits,Tomatoes (local),52 KG,aggregate,Wholesale,GHS,258.32,18.6794
2019-01-15,VOLTA,HOHOE MUNICIPAL,Hohoe,7.15181,0.4736,vegetables and fruits,Tomatoes (navrongo),52 KG,aggregate,Wholesale,GHS,209.99,15.1846
2019-01-15,WESTERN,SEKONDI TAKORADI,Sekondi/Takoradi,4.933333,-1.7,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,141.96,10.2653
2019-01-15,WESTERN,SEKONDI TAKORADI,Sekondi/Takoradi,4.933333,-1.7,vegetables and fruits,Plantains (apentu),Bunch,actual,Wholesale,GHS,17.6,1.2727
2019-02-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,124.24,8.9841
