date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Cassava,KG,aggregate,Retail,GHS,3.06,0.2213
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Gari,KG,aggregate,Retail,GHS,2.27,0.1641
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Maize,KG,aggregate,Retail,GHS,1.5,0.1085
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Maize (yellow),KG,aggregate,Retail,GHS,1.37,0.0991
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Millet,KG,aggregate,Retail,GHS,2.7,0.1952
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Rice (imported),KG,aggregate,Retail,GHS,3.88,0.2806
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Rice (local),KG,aggregate,Retail,GHS,4.66,0.337
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Sorghum,KG,aggregate,Retail,GHS,2.74,0.1981
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,cereals and tubers,Yam,KG,aggregate,Retail,GHS,6.32,0.457
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,"meat, fish and eggs","Fish (mackerel, fresh)",KG,aggregate,Retail,GHS,2.84,0.2054
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,pulses and nuts,Cowpeas,KG,aggregate,Retail,GHS,1.75,0.1265
2019-08-15,ASHANTI,EJURA SEKYE DUMASE,Ejura,7.383333,-1.366667,pulses and nuts,Soybeans,KG,aggregate,Retail,GHS,1.1,0.0795
